year,category,nominee,studio,winner
1992,Best Animated Feature,Beauty and the Beast,Disney,TRUE
1992,Best Animated Feature,Bébé's Kids,Other,FALSE
1992,Best Animated Feature,FernGully: The Last Rainforest,20th Century Fox,FALSE
1993,Best Animated Feature,Aladdin,Disney,TRUE
1993,Best Animated Feature,Little Nemo: Adventures in Slumberland,Other,FALSE
1993,Best Animated Feature,Once Upon a Forest,20th Century Fox,FALSE
1994,Best Animated Feature,The Lion King,Disney,TRUE
1994,Best Animated Feature,Batman: Mask of the Phantasm,Warner Brothers,FALSE
1994,Best Animated Feature,The Nightmare Before Christmas,Tim Burton,FALSE
1995,Best Animated Feature,Pocahontas,Disney,TRUE
1995,Best Animated Feature,A Goofy Movie,Disney,FALSE
1995,Best Animated Feature,The Swan Princess,Other,FALSE
1996,Best Animated Feature,Toy Story,Pixar,TRUE
1996,Best Animated Feature,The Hunchback of Notre Dame,Disney,FALSE
1996,Best Animated Feature,James and the Giant Peach,Disney,FALSE
1996,Best Animated Feature,Ghost in the Shell,Other,FALSE
1996,Best Animated Feature,Balto,Other,FALSE
1997,Best Animated Feature,Cats Don't Dance,Warner Brothers,TRUE
1997,Best Animated Feature,Hercules,Disney,FALSE
1997,Best Animated Feature,Space Jam,Warner Brothers,FALSE
1998,Best Animated Feature,Mulan,Disney,TRUE
1998,Best Animated Feature,Anastasia,20th Century Fox,FALSE
1998,Best Animated Feature,I Married a Strange Person!,Other,FALSE
1998,Best Animated Feature,Quest for Camelot,Warner Brothers,FALSE
1999,Best Animated Feature,The Iron Giant,Warner Brothers,TRUE
1999,Best Animated Feature,A Bug's Life,Pixar,FALSE
1999,Best Animated Feature,The Prince of Egypt,DreamWorks,FALSE
1999,Best Animated Feature,"South Park: Bigger, Longer & Uncut",Other,FALSE
1999,Best Animated Feature,Tarzan,Disney,FALSE
2000,Best Animated Feature,Toy Story 2,Pixar,TRUE
2000,Best Animated Feature,Chicken Run,Aardman,FALSE
2000,Best Animated Feature,Fantasia 2000,Disney,FALSE
2000,Best Animated Feature,The Road to El Dorado,DreamWorks,FALSE
2000,Best Animated Feature,Titan A.E.,20th Century Fox,FALSE
2001,Best Animated Feature,Shrek,DreamWorks,TRUE
2001,Best Animated Feature,Blood: The Last Vampire,Other,FALSE
2001,Best Animated Feature,The Emperor's New Groove,Disney,FALSE
2001,Best Animated Feature,Osmosis Jones,Warner Brothers,FALSE
2002,Best Animated Feature,Spirited Away,Studio Ghibli,TRUE
