year,nominee,studio,winner
2006,Happy Feet,Other,TRUE
2006,Cars,Pixar,FALSE
2006,Flushed Away,DreamWorks,FALSE
2007,Ratatouille,Pixar,TRUE
2007,Shrek The Third,DreamWorks,FALSE
2007,The Simpsons Movie,20th Century Fox,FALSE
2008,WALL-E,Pixar,TRUE
2008,Persepolis,Other,FALSE
2008,Waltz With Bashir,Other,FALSE
2009,Up,Pixar,TRUE
2009,Coraline,Laika,FALSE
2009,Fantastic Mr. Fox,Wes Anderson,FALSE
2010,Toy Story 3,Pixar,TRUE
2010,Despicable Me,Illumination,FALSE
2010,How to Train Your Dragon,DreamWorks,FALSE
2011,Rango,Nickelodeon,TRUE
2011,The Adventures of Tintin,Other,FALSE
2011,Arthur Christmas,Sony,FALSE
2012,Brave,Pixar,TRUE
2012,Frankenweenie,Tim Burton,FALSE
2012,ParaNorman,Laika,FALSE
2013,Frozen,Disney,TRUE
2013,Despicable Me 2,Illumination,FALSE
2013,Monsters University,Pixar,FALSE
2014,The Lego Movie,Warner Brothers,TRUE
2014,Big Hero 6,Disney,FALSE
2014,The Boxtrolls,Laika,FALSE
2015,Inside Out,Pixar,TRUE
2015,Minions,Illumination,FALSE
2015,Shaun the Sheep Movie,Aardman,FALSE
2016,Kubo and the Two Strings,Laika,TRUE
2016,Finding Dory,Pixar,FALSE
2016,Moana,Disney,FALSE
2016,Zootopia,Disney,FALSE
2017,Coco,Pixar,TRUE
2017,Loving Vincent,Other,FALSE
2017,My Life as a Courgette,Other,FALSE
2018,Spider-Man: Into the Spider-Verse,Sony,TRUE
2018,Incredibles 2,Pixar,FALSE
2018,Isle of Dogs,Wes Anderson,FALSE
2019,Klaus,Netflix,TRUE
2019,Frozen II,Disney,FALSE
2019,A Shaun the Sheep Movie: Farmageddon,Aardman,FALSE
2019,Toy Story 4,Pixar,FALSE
2020,Soul,Pixar,TRUE
2020,Onward,Pixar,FALSE
2020,Wolfwalkers,Cartoon Saloon,FALSE
2021,Encanto,Disney,TRUE
2021,Flee,Other,FALSE
2021,Luca,Pixar,FALSE
2021,The Mitchells vs. the Machines,Sony,FALSE
2022,Guillermo del Toro's Pinocchio,Netflix,TRUE
2022,Marcel the Shell with Shoes On,Other,FALSE
2022,Puss in Boots: The Last Wish,DreamWorks,FALSE
2022,Turning Red,Pixar,FALSE
,,,
,,,
,,,
,,,
,,,
,,,
