year,nominee,studio,winner
2006,Happy Feet,Other,FALSE
2006,Monster House,Other,FALSE
2006,Cars,Pixar,TRUE
2007,The Simpsons Movie,20th Century Fox,FALSE
2007,Bee Movie,DreamWorks,FALSE
2007,Ratatouille,Pixar,TRUE
2008,Bolt,Disney,FALSE
2008,Kung Fu Panda,DreamWorks,FALSE
2008,WALL-E,Pixar,TRUE
2009,The Princess and the Frog,Disney,FALSE
2009,Coraline,Laika,FALSE
2009,Up,Pixar,TRUE
2009,Cloudy with a Chance of Meatballs,Sony,FALSE
2009,Fantastic Mr. Fox,Wes Anderson,FALSE
2010,Tangled,Disney,FALSE
2010,How to Train Your Dragon,DreamWorks,FALSE
2010,Despicable Me,Illumination,FALSE
2010,The Illusionist,Other,FALSE
2010,Toy Story 3,Pixar,TRUE
2011,Cars 2,Pixar,FALSE
2011,Puss In Boots,DreamWorks,FALSE
2011,Rango,Nickelodeon,FALSE
2011,The Adventures of Tintin,Other,TRUE
2011,Arthur Christmas,Sony,FALSE
2012,Wreck-It Ralph,Disney,FALSE
2012,Rise of the Guardians,DreamWorks,FALSE
2012,Brave,Pixar,TRUE
2012,Hotel Transylvania,Sony,FALSE
2012,Frankenweenie,Tim Burton,FALSE
2013,Frozen,Disney,TRUE
2013,The Croods,DreamWorks,FALSE
2013,Despicable Me 2,Illumination,FALSE
2014,The Book of Life,20th Century Fox,FALSE
2014,Big Hero 6,Disney,FALSE
2014,How to Train Your Dragon 2,DreamWorks,TRUE
2014,The Boxtrolls,Laika,FALSE
2014,The Lego Movie,Warner Brothers,FALSE
2015,Shaun the Sheep Movie,Aardman,FALSE
2015,The Peanuts Movie,Blue Sky,FALSE
2015,Anomalisa,Other,FALSE
2015,Inside Out,Pixar,TRUE
2015,The Good Dinosaur,Pixar,FALSE
2016,Zootopia,Disney,TRUE
2016,Moana,Disney,FALSE
2016,Sing,Illumination,FALSE
2016,Kubo and the Two Strings,Laika,FALSE
2016,My Life as a Courgette,Other,FALSE
2017,Ferdinand,Blue Sky,FALSE
2017,The Breadwinner,Cartoon Saloon,FALSE
2017,The Boss Baby,DreamWorks,FALSE
2017,Loving Vincent,Other,FALSE
2017,Coco,Pixar,TRUE
2018,Ralph Breaks the Internet,Disney,FALSE
2018,Incredibles 2,Pixar,FALSE
2018,Spider-Man: Into the Spider-Verse,Sony,TRUE
2018,Mirai,Studio Chizu,FALSE
2018,Isle of Dogs,Wes Anderson,FALSE
2019,The Lion King,Disney,FALSE
2019,Toy Story 4,Pixar,FALSE
2019,Frozen II,Disney,FALSE
2019,How to Train Your Dragon: The Hidden World,DreamWorks,FALSE
2019,Missing Link,Laika,TRUE
2020,Wolfwalkers,Cartoon Saloon,FALSE
2020,The Croods: A New Age,DreamWorks,FALSE
2020,Over the Moon,Netflix,FALSE
2020,Soul,Pixar,TRUE
2020,Onward,Pixar,FALSE
2021,Encanto,Disney,TRUE
2021,Flee,Other,FALSE
2021,Luca,Pixar,FALSE
2021,My Sunny Maad,Other,FALSE
2021,Raya and the Last Dragon,Disney,FALSE
2022,Guillermo del Toro's Pinocchio,Netflix,TRUE
2022,Inu-Oh,Other,FALSE
2022,Marcel the Shell with Shoes On,Other,FALSE
2022,Puss in Boots: The Last Wish,DreamWorks,FALSE
2022,Turning Red,Pixar,FALSE
