year,nominee,studio,oscar,annie,globe,bafta,annie_ind
1991,Beauty and the Beast,Disney,0,2,0,0,0
1992,Aladdin,Disney,0,2,0,0,0
1992,Bébé's Kids,Other,0,1,0,0,0
1992,FernGully: The Last Rainforest,20th Century Fox,0,1,0,0,0
1992,Little Nemo: Adventures in Slumberland,Other,0,1,0,0,0
1993,Batman: Mask of the Phantasm,Warner Brothers,0,1,0,0,0
1993,Once Upon a Forest,20th Century Fox,0,1,0,0,0
1993,The Nightmare Before Christmas,Tim Burton,0,1,0,0,0
1994,The Lion King,Disney,0,2,0,0,0
1994,The Swan Princess,Other,0,1,0,0,0
1995,A Goofy Movie,Disney,0,1,0,0,0
1995,Balto,Other,0,1,0,0,0
1995,Ghost in the Shell,Other,0,1,0,0,0
1995,Pocahontas,Disney,0,2,0,0,0
1995,Toy Story,Pixar,0,2,0,0,0
1996,James and the Giant Peach,Disney,0,1,0,0,0
1996,Space Jam,Warner Brothers,0,1,0,0,0
1996,The Hunchback of Notre Dame,Disney,0,1,0,0,0
1997,Anastasia,20th Century Fox,0,1,0,0,0
1997,Cats Don't Dance,Warner Brothers,0,2,0,0,0
1997,Hercules,Disney,0,1,0,0,0
1997,I Married a Strange Person!,Other,0,1,0,0,0
1998,A Bug's Life,Pixar,0,1,0,0,0
1998,Mulan,Disney,0,2,0,0,0
1998,Quest for Camelot,Warner Brothers,0,1,0,0,0
1998,The Prince of Egypt,DreamWorks,0,1,0,0,0
1999,Fantasia 2000,Disney,0,1,0,0,0
1999,"South Park: Bigger, Longer & Uncut",Other,0,1,0,0,0
1999,Tarzan,Disney,0,1,0,0,0
1999,The Iron Giant,Warner Brothers,0,2,0,0,0
1999,Toy Story 2,Pixar,0,2,0,0,0
2000,Blood: The Last Vampire,Other,0,1,0,0,0
2000,Chicken Run,Aardman,0,1,0,0,0
2000,The Emperor's New Groove,Disney,0,1,0,0,0
2000,The Road to El Dorado,DreamWorks,0,1,0,0,0
2000,Titan A.E.,20th Century Fox,0,1,0,0,0
2001,Jimmy Neutron: Boy Genius,Nickelodeon,1,1,0,0,0
2001,Millennium Actress,Other,0,1,0,0,0
2001,"Monsters, Inc.",Pixar,1,1,0,0,0
2001,Osmosis Jones,Warner Brothers,0,1,0,0,0
2001,Shrek,DreamWorks,2,2,0,0,0
2001,Spirited Away,Studio Ghibli,2,2,0,0,0
2002,Ice Age,Blue Sky,1,1,0,0,0
2002,Lilo & Stitch,Disney,1,1,0,0,0
2002,Spirit: Stallion of the Cimarron,DreamWorks,1,1,0,0,0
2002,Treasure Planet,Disney,1,0,0,0,0
2003,Brother Bear,Disney,1,1,0,0,0
2003,Finding Nemo,Pixar,2,2,0,0,0
2003,Looney Tunes: Back In Action,Warner Brothers,0,1,0,0,0
2003,The Triplets of Belleville,Les Armateurs,1,1,0,0,0
2004,Ghost in the Shell 2: Innocence,Other,0,1,0,0,0
2004,Howl's Moving Castle,Studio Ghibli,1,1,0,0,0
2004,Shark Tale,DreamWorks,1,0,0,0,0
2004,Shrek 2,DreamWorks,1,1,0,0,0
2004,The Incredibles,Pixar,2,2,0,0,0
2004,The SpongeBob SquarePants Movie,Nickelodeon,0,1,0,0,0
2005,Chicken Little,Disney,0,1,0,0,0
2005,Corpse Bride,Tim Burton,1,1,0,0,0
2005,Madagascar,DreamWorks,0,1,0,0,0
2005,Wallace & Gromit: The Curse of the Were-Rabbit,Aardman,2,2,0,0,0
2006,Cars,Pixar,1,2,2,1,0
2006,Flushed Away,DreamWorks,0,0,0,1,0
2006,Happy Feet,Other,2,1,1,2,0
2006,Monster House,Other,1,1,1,0,0
2006,Open Season,Sony,0,1,0,0,0
2006,Over the Hedge,DreamWorks,0,1,0,0,0
2007,Bee Movie,DreamWorks,0,1,1,0,0
2007,Persepolis,Other,1,1,0,1,0
2007,Ratatouille,Pixar,2,2,2,2,0
2007,Shrek The Third,DreamWorks,0,0,0,1,0
2007,Surf's Up,Sony,1,1,0,0,0
2007,The Simpsons Movie,20th Century Fox,0,1,1,1,0
2008,$9.99 ,Other,0,1,0,0,0
2008,Bolt,Disney,0,0,1,0,0
