year,nominee,studio,winner
2001,Jimmy Neutron: Boy Genius,Nickelodeon,FALSE
2001,"Monsters, Inc.",Pixar,FALSE
2001,Shrek,DreamWorks,TRUE
2002,Ice Age,Blue Sky,FALSE
2002,Lilo & Stitch,Disney,FALSE
2002,Spirit: Stallion of the Cimarron,DreamWorks,FALSE
2002,Spirited Away,Studio Ghibli,TRUE
2002,Treasure Planet,Disney,FALSE
2003,Brother Bear,Disney,FALSE
2003,Finding Nemo,Pixar,TRUE
2003,The Triplets of Belleville,Les Armateurs,FALSE
2004,The Incredibles,Pixar,TRUE
2004,Shark Tale,DreamWorks,FALSE
2004,Shrek 2,DreamWorks,FALSE
2005,Howl's Moving Castle,Studio Ghibli,FALSE
2005,Corpse Bride,Tim Burton,FALSE
2005,Wallace & Gromit: The Curse of the Were-Rabbit,Aardman,TRUE
2006,Cars,Pixar,FALSE
2006,Happy Feet,Other,TRUE
2006,Monster House,Other,FALSE
2007,Persepolis,Other,FALSE
2007,Ratatouille,Pixar,TRUE
2007,Surf's Up,Sony,FALSE
2008,Bolt,Disney,FALSE
2008,Kung Fu Panda,DreamWorks,FALSE
2008,WALL-E,Pixar,TRUE
2009,Coraline,Laika,FALSE
2009,Fantastic Mr. Fox,Wes Anderson,FALSE
2009,The Princess and the Frog,Disney,FALSE
2009,The Secret of Kells,Cartoon Saloon,FALSE
2009,Up,Pixar,TRUE
2010,How to Train Your Dragon,DreamWorks,FALSE
2010,The Illusionist,Other,FALSE
2010,Toy Story 3,Pixar,TRUE
2011,A Cat in Paris,Other,FALSE
2011,Chico & Rita,Other,FALSE
2011,Kung Fu Panda 2,DreamWorks,FALSE
2011,Puss In Boots,DreamWorks,FALSE
2011,Rango,Nickelodeon,TRUE
2012,Brave,Pixar,TRUE
2012,Frankenweenie,Tim Burton,FALSE
2012,ParaNorman,Laika,FALSE
2012,The Pirates! Band of Misfits,Aardman,FALSE
2012,Wreck-It Ralph,Disney,FALSE
2013,The Croods,DreamWorks,FALSE
2013,Despicable Me 2,Illumination,FALSE
2013,Ernest & Celestine,Les Armateurs,FALSE
2013,Frozen,Disney,TRUE
2013,The Wind Rises,Studio Ghibli,FALSE
2014,Big Hero 6,Disney,TRUE
2014,The Boxtrolls,Laika,FALSE
2014,How to Train Your Dragon 2,DreamWorks,FALSE
2014,Song of the Sea,Cartoon Saloon,FALSE
2014,The Tale of the Princess Kaguya,Studio Ghibli,FALSE
2015,Anomalisa,Other,FALSE
2015,Boy and the World,Other,FALSE
2015,Inside Out,Pixar,TRUE
2015,Shaun the Sheep Movie,Aardman,FALSE
2015,When Marnie Was There,Studio Ghibli,FALSE
2016,Kubo and the Two Strings,Laika,FALSE
2016,Moana,Disney,FALSE
2016,My Life as a Courgette,Other,FALSE
2016,The Red Turtle,Studio Ghibli,FALSE
2016,Zootopia,Disney,TRUE
2017,The Boss Baby,DreamWorks,FALSE
2017,The Breadwinner,Cartoon Saloon,FALSE
2017,Coco,Pixar,TRUE
2017,Ferdinand,Blue Sky,FALSE
2017,Loving Vincent,Other,FALSE
2018,Incredibles 2,Pixar,FALSE
2018,Isle of Dogs,Wes Anderson,FALSE
2018,Mirai,Studio Chizu,FALSE
2018,Ralph Breaks the Internet,Disney,FALSE
2018,Spider-Man: Into the Spider-Verse,Sony,TRUE
2019,How to Train Your Dragon: The Hidden World,DreamWorks,FALSE
2019,I Lost My Body,Other,FALSE
2019,Klaus,Netflix,FALSE
2019,Missing Link,Laika,FALSE
2019,Toy Story 4,Pixar,TRUE
2020,Soul,Pixar,TRUE
2020,Onward,Pixar,FALSE
2020,Over the Moon,Netflix,FALSE
2020,A Shaun the Sheep Movie: Farmageddon,Aardman,FALSE
2020,Wolfwalkers,Cartoon Saloon,FALSE
2021,Encanto,Disney,TRUE
2021,Flee,Other,FALSE
2021,Luca,Pixar,FALSE
2021,Raya and the Last Dragon,Disney,FALSE
2021,The Mitchells vs. the Machines,Sony,FALSE
2022,Guillermo del Toro's Pinocchio,Netflix,TRUE
2022,Marcel the Shell with Shoes On,Other,FALSE
2022,Puss in Boots: The Last Wish,DreamWorks,FALSE
2022,The Sea Beast,Netflix,FALSE
2022,Turning Red,Pixar,FALSE
